,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
0,23043,2023-04-19,02,04,17,20,27,01,08,27,17,02,04,20,"853,496,452",4,"10,000,000",126,"129,148","356,711,435",70,14.00,20,2,3,-1,0,1,2,3,-1,4,6,0,0,25,13,2,2,2
1,23042,2023-04-17,02,16,21,23,27,01,08,16,27,23,21,02,"828,299,304",4,"8,825,763",90,"177,996","362,398,489",89,17.80,19,3,2,1,2,1,3,2,1,5,6,0,0,25,14,0,0,1
2,23041,2023-04-15,05,08,13,26,35,05,09,26,13,05,35,08,"794,168,912",10,"9,113,936",167,"88,299","389,220,667",87,17.40,27,3,2,1,0,0,2,3,-1,4,6,0,0,30,13,0,1,1
3,23040,2023-04-12,04,05,18,22,30,05,12,05,18,22,30,04,"827,601,740",10,"8,838,815",101,"163,388","369,110,639",79,15.80,19,1,4,-3,0,2,3,2,1,5,6,1,1,26,13,0,1,0
4,23039,2023-04-10,02,24,26,30,34,06,07,24,34,26,02,30,"869,785,637",2,"10,000,000",74,"231,241","368,190,696",116,23.20,16,0,5,-5,0,4,4,1,3,4,5,0,0,32,22,0,0,1
5,23038,2023-04-08,04,10,18,27,32,10,12,10,04,18,32,27,"806,289,674",2,"10,000,000",158,"87,329","311,720,942",91,18.20,21,1,4,-3,0,2,3,2,1,5,5,0,0,28,9,0,0,0
6,23037,2023-04-05,06,08,16,20,24,07,08,24,16,08,20,06,"768,030,436",5,"7,815,329",136,"90,445","284,657,775",74,14.80,24,0,5,-5,0,4,2,3,-1,4,4,0,0,18,8,0,0,0
7,23036,2023-04-03,01,13,22,26,31,02,10,26,13,22,01,31,"752,208,151",10,"5,516,938",503,"20,000","285,032,829",93,18.60,13,3,2,1,1,1,3,2,1,4,5,0,0,30,12,0,0,3
8,23035,2023-04-01,07,14,23,25,29,02,11,25,14,29,23,07,"790,017,645",6,"9,979,848",238,"47,702","310,558,399",98,19.60,28,4,1,3,2,0,3,2,1,5,6,0,0,22,9,1,1,3
9,23034,2023-03-29,07,09,10,15,24,04,12,15,09,07,24,10,"803,285,353",5,"7,780,731",110,"108,314","287,732,716",65,13.00,25,3,2,1,1,0,1,4,-3,5,6,1,1,17,9,1,1,4
10,23033,2023-03-27,04,06,10,11,25,07,09,04,06,10,11,25,"787,964,750",4,"7,900,471",94,"128,909","289,373,837",56,11.20,16,2,3,-1,1,2,1,4,-3,5,6,1,1,21,14,1,1,2
11,23032,2023-03-25,05,06,18,28,30,02,07,30,05,28,18,06,"771,590,190",17,"6,288,243",133,"73,933","308,131,139",87,17.40,27,1,4,-3,0,3,3,2,1,4,5,1,1,25,12,1,1,1
12,23031,2023-03-22,05,07,08,16,25,03,11,16,25,08,07,05,"861,440,447",6,"9,483,426",146,"84,608","287,302,404",61,12.20,31,3,2,1,1,1,1,4,-3,4,5,1,1,20,9,0,0,2
13,23030,2023-03-20,06,11,12,20,35,05,12,35,20,06,12,11,"880,358,984",5,"10,000,000",82,"166,908","291,586,529",84,16.80,14,2,3,-1,0,1,2,3,-1,5,6,1,1,29,15,1,1,2
14,23029,2023-03-18,07,25,27,34,35,09,11,27,25,35,34,07,"873,738,106",0,0,79,"179,115","309,186,270",128,25.60,28,4,1,3,2,0,4,1,3,3,6,1,1,28,18,0,1,1
15,23028,2023-03-15,01,03,29,30,34,04,12,34,01,03,30,29,"807,820,511",0,0,52,"299,559","293,553,586",97,19.40,17,3,2,1,2,1,3,2,1,5,6,1,1,33,26,0,0,0
16,23027,2023-03-13,09,10,12,15,23,03,06,15,12,09,10,23,"734,749,841",5,"6,766,822",125,"75,900","288,212,889",69,13.80,19,3,2,1,1,1,1,4,-3,5,5,1,1,14,8,0,0,2
17,23026,2023-03-11,02,13,24,27,30,01,06,30,13,02,24,27,"733,932,865",1,"10,000,000",90,"199,360","316,826,904",96,19.20,16,2,3,-1,0,0,3,2,1,5,4,0,0,28,11,0,2,2
18,23025,2023-03-08,03,09,27,30,31,11,12,31,30,03,09,27,"667,313,213",6,"6,917,554",105,"136,852","298,831,206",100,20.00,20,4,1,3,2,0,3,2,1,5,6,1,1,28,18,0,2,1
19,23024,2023-03-06,11,15,24,27,30,01,10,11,30,24,27,15,"662,152,862",5,"7,924,611",111,"135,800","299,898,051",107,21.40,17,3,2,1,1,0,3,2,1,5,5,0,0,19,9,0,0,1
20,23023,2023-03-04,09,21,23,25,33,03,10,23,25,09,33,21,"641,960,896",13,"6,369,271",47,"362,879","327,693,006",111,22.20,21,5,0,5,4,0,4,1,3,4,4,0,0,24,12,0,0,1
21,23022,2023-03-01,07,11,15,26,28,08,10,28,11,26,07,15,"656,985,939",5,"7,161,286",224,"54,181","304,855,393",87,17.40,27,3,2,1,2,1,2,3,-1,5,5,0,0,21,11,0,0,2
22,23021,2023-02-27,02,09,18,23,27,03,05,09,27,18,23,02,"648,618,913",5,"6,737,925",264,"38,095","304,448,024",79,15.80,29,3,2,1,1,0,3,2,1,5,5,0,0,25,9,0,1,1
23,23020,2023-02-25,05,06,23,25,28,06,09,25,23,28,06,05,"648,355,013",13,"5,492,927",272,"25,125","323,977,748",87,17.40,27,3,2,1,1,0,3,2,1,4,6,1,1,23,17,1,1,1
24,23019,2023-02-22,05,08,09,11,15,06,08,09,05,08,11,15,"706,197,257",10,"5,948,278",131,"73,156","298,433,689",48,9.60,28,4,1,3,2,0,0,5,-5,4,3,1,1,10,4,1,1,2
25,23018,2023-02-20,04,08,17,26,30,03,11,08,26,17,04,30,"732,297,154",3,"8,442,888",152,"87,105","297,501,654",85,17.00,25,1,4,-3,0,2,2,3,-1,5,2,0,0,26,9,0,0,3
26,23017,2023-02-18,02,05,09,22,27,10,11,27,02,09,05,22,"709,369,027",30,"5,817,626",101,"143,902","325,814,136",65,13.00,25,3,2,1,1,0,2,3,-1,4,6,0,0,25,13,1,1,1
27,23016,2023-02-15,02,04,12,31,32,07,11,04,02,32,12,31,"929,208,065",11,"6,710,087",85,"134,111","294,344,609",81,16.20,11,1,4,-3,0,2,2,3,-1,3,6,1,1,30,19,0,0,0
28,23015,2023-02-13,08,16,24,25,34,08,12,16,08,34,25,24,"1,006,012,729",6,"8,742,063",70,"194,129","286,304,176",107,21.40,27,1,4,-3,0,2,3,2,1,4,4,1,1,26,9,0,2,1
29,23014,2023-02-11,03,08,18,22,24,01,09,22,18,24,03,08,"1,037,380,726",5,"10,000,000",156,"85,206","308,698,349",75,15.00,25,1,4,-3,0,3,3,2,1,4,6,0,0,21,10,0,0,4
