,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
0,07001,22,24,29,31,35,04,11,141,28.20,21,3,2,1,2,1,5,0,5,5,4,0,0,13,5,0,0,0
1,07002,15,22,31,34,35,05,12,137,27.40,17,3,2,1,0,0,4,1,3,4,6,1,1,20,9,1,3,1
2,07003,03,04,18,23,32,01,06,80,16.00,20,2,3,-1,0,1,3,2,1,4,5,1,1,29,14,0,0,2
3,07004,06,10,16,17,25,02,04,74,14.80,24,2,3,-1,1,2,1,4,-3,4,6,1,1,19,8,0,0,1
4,07005,01,09,19,20,30,02,11,79,15.80,19,3,2,1,2,1,3,2,1,3,4,1,1,29,10,0,0,1
5,07006,01,16,20,23,28,03,06,88,17.60,18,2,3,-1,0,1,3,2,1,5,6,0,0,27,15,1,2,1
6,07007,14,16,25,26,35,04,09,116,23.20,26,2,3,-1,0,1,3,2,1,3,4,1,1,21,9,1,1,0
7,07008,02,08,11,21,23,04,07,65,13.00,15,3,2,1,2,1,2,3,-1,4,6,0,0,21,10,0,0,0
8,07009,01,03,09,19,34,09,12,66,13.20,26,4,1,3,3,0,2,3,-1,4,6,0,0,33,15,0,0,3
9,07010,06,08,18,29,34,09,11,95,19.00,35,1,4,-3,0,2,3,2,1,4,6,0,0,28,11,1,1,2
10,07011,29,32,33,34,35,09,10,163,32.60,23,3,2,1,0,0,5,0,5,5,2,3,1,6,3,0,2,2
11,07012,03,12,15,29,34,07,11,93,18.60,23,3,2,1,1,0,2,3,-1,5,6,0,0,31,14,0,2,1
12,07013,12,17,27,29,34,06,09,119,23.80,29,3,2,1,2,0,3,2,1,4,4,0,0,22,10,2,3,0
13,07014,01,02,07,29,32,06,07,71,14.20,21,3,2,1,1,0,2,3,-1,4,6,1,1,31,22,1,1,0
14,07015,02,08,12,13,17,11,12,52,10.40,22,2,3,-1,1,2,0,5,-5,4,4,1,1,15,6,0,1,2
15,07016,01,14,19,24,31,03,12,89,17.80,19,3,2,1,0,0,3,2,1,3,5,0,0,30,13,0,0,2
16,07017,13,14,29,32,34,03,12,122,24.40,22,2,3,-1,0,1,3,2,1,4,6,1,1,21,15,1,1,2
17,07018,03,04,16,23,28,06,09,74,14.80,24,2,3,-1,0,1,2,3,-1,4,5,1,1,25,12,0,0,1
18,07019,03,06,17,22,23,04,06,71,14.20,21,3,2,1,0,0,2,3,-1,4,6,1,1,20,11,1,2,3
19,07020,02,06,11,12,18,05,12,49,9.80,19,1,4,-3,0,2,1,4,-3,4,5,1,1,16,6,1,1,2
