,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,红球_6 顺序,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
0,23044,2023-04-20,02,08,15,22,24,26,16,15,08,26,02,24,22,0,0,0,0,0,0,97,16.17,27,1,5,-4,0,3,3,3,0,5,8,0,0,24,7,2,2,0
1,23043,2023-04-18,05,08,12,20,24,28,10,08,12,28,05,24,20,"1,996,962,618",19,"5,909,465",228,"94,736","370,609,676",97,16.17,27,1,5,-4,0,4,3,3,0,5,5,0,0,23,8,0,1,2
2,23042,2023-04-16,10,17,20,23,27,30,10,20,27,30,23,17,10,"2,044,443,036",10,"6,650,718",224,"92,116","406,450,374",127,21.17,17,3,3,0,1,0,5,1,4,3,3,0,0,20,7,0,0,1
3,23041,2023-04-13,01,06,12,13,15,24,06,01,06,13,15,24,12,"2,049,048,265",3,"10,000,000",118,"203,861","379,030,400",71,11.83,21,3,3,0,1,1,1,5,-4,6,7,1,1,23,9,0,1,1
4,23040,2023-04-11,09,16,17,24,29,31,08,17,29,09,24,31,16,"2,006,881,397",5,"9,001,506",165,"151,572","372,777,348",126,21.00,36,4,2,2,1,0,4,2,2,5,6,1,1,22,7,0,1,1
5,23039,2023-04-09,02,03,09,13,19,28,09,28,13,02,19,03,09,"1,976,860,679",5,"8,903,432",191,"127,730","409,186,858",74,12.33,34,4,2,2,3,0,2,4,-2,4,8,1,1,26,9,1,2,2
6,23038,2023-04-06,02,09,14,17,31,33,08,09,02,33,14,17,31,"1,948,188,487",11,"6,553,875",135,"158,265","368,841,578",106,17.67,26,4,2,2,2,0,3,3,0,6,10,0,0,31,14,0,1,1
7,23037,2023-04-04,08,23,25,26,29,31,12,08,25,29,26,23,31,"1,956,183,761",16,"5,978,413",115,"170,158","357,460,864",142,23.67,32,4,2,2,2,0,5,1,4,6,7,1,1,23,15,0,0,4
8,23036,2023-04-02,13,14,18,19,24,30,09,24,19,18,14,13,30,"1,993,133,574",24,"5,566,068",271,"62,664","402,105,258",118,19.67,28,2,4,-2,0,2,4,2,2,5,4,2,2,17,6,0,0,1
9,23035,2023-03-30,01,04,09,10,20,33,06,10,20,09,04,01,33,"2,075,773,039",10,"6,874,671",100,"234,333","376,157,550",77,12.83,17,3,3,0,0,1,2,4,-2,5,10,1,1,32,13,1,1,3
10,23034,2023-03-28,02,03,09,11,12,17,15,09,11,02,17,03,12,"2,074,219,579",5,"9,140,109",146,"177,230","371,464,196",54,9.00,24,4,2,2,2,0,1,5,-4,5,6,2,2,15,6,0,1,2
11,23033,2023-03-26,08,09,13,23,24,26,05,08,13,24,23,09,26,"2,042,293,077",5,"9,565,190",240,"118,885","407,044,870",103,17.17,33,3,3,0,2,1,3,3,0,5,8,2,2,18,10,0,1,0
12,23032,2023-03-23,06,19,20,26,28,33,01,26,28,06,20,33,19,"2,004,521,709",15,"6,158,718",142,"152,999","378,271,328",132,22.00,32,2,4,-2,0,2,5,1,4,5,7,1,1,27,13,1,1,3
13,23031,2023-03-21,07,14,27,29,31,33,05,14,27,33,07,31,29,"2,031,724,589",3,"10,000,000",309,"83,076","377,795,536",141,23.50,31,5,1,4,3,0,4,2,2,5,7,0,0,26,13,0,2,2
14,23030,2023-03-19,02,03,07,16,30,31,06,07,02,16,31,30,03,"1,984,712,961",7,"7,680,189",78,"300,662","407,635,670",89,14.83,19,3,3,0,1,1,2,4,-2,6,7,2,2,29,14,0,2,1
15,23029,2023-03-16,03,07,12,24,28,33,08,28,33,03,07,24,12,"1,968,119,308",5,"8,837,568",173,"138,640","373,970,632",107,17.83,27,3,3,0,1,2,3,3,0,5,5,0,0,30,12,1,1,0
16,23028,2023-03-14,05,07,10,17,20,22,14,10,22,07,05,20,17,"1,940,352,740",4,"10,000,000",151,"205,758","378,131,048",81,13.50,21,3,3,0,1,1,3,3,0,4,4,0,0,17,7,0,2,1
17,23027,2023-03-12,08,10,22,27,32,33,08,27,10,08,32,22,33,"1,887,143,965",5,"8,409,682",88,"242,164","405,939,502",132,22.00,22,2,4,-2,0,2,4,2,2,5,9,1,1,25,12,1,1,2
18,23026,2023-03-09,01,18,26,30,31,33,03,31,18,01,26,33,30,"1,865,260,832",12,"6,934,784",98,"296,140","382,398,740",139,23.17,19,3,3,0,1,2,5,1,4,5,10,1,1,32,17,1,1,3
19,23025,2023-03-07,04,16,20,21,31,32,14,21,04,20,16,31,32,"1,861,412,948",10,"6,974,384",118,"209,150","383,537,242",124,20.67,14,2,4,-2,1,2,4,2,2,5,6,2,2,28,12,0,0,2
20,23024,2023-03-05,03,06,09,17,27,28,03,03,27,06,28,09,17,"1,857,117,376",21,"5,993,974",487,"53,576","424,465,912",90,15.00,40,4,2,2,2,0,3,3,0,5,8,1,1,25,10,0,0,2
21,23023,2023-03-02,05,08,10,15,24,25,09,10,24,08,05,25,15,"1,904,715,322",41,"5,000,000",258,"6,000","394,377,912",87,14.50,27,3,3,0,0,1,2,4,-2,4,8,1,1,20,9,0,1,2
22,23022,2023-02-28,10,11,18,19,23,31,03,10,19,31,23,11,18,"2,109,715,322",1,"10,000,000",112,"229,101","393,991,274",112,18.67,22,4,2,2,2,0,4,2,2,5,5,2,2,21,8,1,1,1
23,23021,2023-02-26,02,05,06,19,21,27,04,05,19,02,27,06,21,"2,042,737,116",21,"6,115,562",186,"157,438","430,229,092",80,13.33,30,4,2,2,2,0,3,3,0,6,10,1,1,25,13,1,1,3
24,23020,2023-02-23,01,12,17,18,26,27,05,01,26,17,27,18,12,"2,083,313,411",2,"10,000,000",92,"284,500","394,774,502",101,16.83,31,3,3,0,0,1,4,2,2,5,8,2,2,26,11,1,2,1
25,23019,2023-02-21,06,12,26,28,29,32,15,12,29,06,32,26,28,"2,024,791,190",7,"8,309,157",110,"263,228","399,695,170",133,22.17,33,1,5,-4,0,3,4,2,2,4,7,1,1,26,14,1,1,2
26,23018,2023-02-19,10,12,17,19,25,31,13,10,19,12,17,25,31,"1,996,089,903",1,"10,000,000",380,"81,771","428,078,014",114,19.00,24,4,2,2,3,1,4,2,2,6,7,0,0,21,6,0,0,5
