,开奖日期,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额
2987,2003-02-23,03001,10,11,12,13,26,28,11,"2,097,070",0,0,1,"898,744","10,307,806"
2986,2003-02-27,03002,04,09,19,20,21,26,12,"8,330,621",0,0,2,"264,332","7,398,870"
2985,2003-03-02,03003,01,07,10,23,28,32,16,"9,881,677",0,0,2,"332,369","8,917,960"
2984,2003-03-06,03004,04,06,07,10,13,25,03,"11,852,729",0,0,3,"281,578","9,517,794"
2983,2003-03-09,03005,04,06,15,17,30,31,16,"14,280,829",0,0,4,"260,153","10,661,438"
2982,2003-03-13,03006,01,03,10,21,26,27,06,"16,204,682",0,0,2,"412,254","10,919,658"
2981,2003-03-16,03007,01,09,19,21,23,26,07,"12,985,898",1,"5,000,000",3,"254,459","12,124,030"
2980,2003-03-20,03008,05,08,09,14,17,23,08,"13,403,319",0,0,6,"29,815","11,696,278"
2979,2003-03-23,03009,05,09,18,20,22,30,09,"13,902,044",0,0,2,"106,869","12,386,072"
2978,2003-03-27,03010,01,02,08,13,17,24,13,"10,810,274",1,"5,000,000",3,"272,604","12,402,130"
2977,2003-03-30,03011,04,05,11,12,30,32,15,"12,695,728",0,0,1,"808,052","12,782,494"
2976,2003-04-03,03012,02,12,16,17,27,30,12,"9,876,408",1,"5,000,000",6,"155,762","12,307,262"
2975,2003-04-06,03013,08,13,17,21,23,32,12,"13,128,993",0,0,4,"348,491","12,611,880"
2974,2003-04-10,03014,03,05,07,08,21,31,02,"15,565,779",0,0,2,"522,168","12,476,130"
2973,2003-04-13,03015,04,11,19,25,26,32,13,"18,393,824",0,0,6,"202,003","13,460,134"
2972,2003-04-17,03016,11,17,28,30,31,33,06,"22,558,622",0,0,0,0,"13,098,324"
2971,2003-04-20,03017,05,08,18,23,25,31,06,"25,928,966",0,0,1,"1,444,433","14,451,270"
2970,2003-04-24,03018,05,16,19,20,25,28,13,"29,122,692",0,0,3,"456,246","14,339,392"
2969,2003-04-27,03019,04,08,12,13,16,33,09,"31,555,212",0,0,9,"115,834","15,159,580"
2968,2003-05-01,03020,07,10,25,26,27,32,04,"8,846,550",5,"5,000,000",3,"327,334","14,670,860"
2967,2003-05-04,03021,14,15,18,25,26,30,01,"7,108,391",1,"5,000,000",0,0,"13,537,342"
2966,2003-05-08,03022,02,07,11,12,14,32,08,"9,597,935",0,0,1,"1,066,947","13,869,188"
2965,2003-05-11,03023,01,10,20,22,26,31,02,"8,321,908",1,"5,000,000",2,"797,994","15,374,822"
2964,2003-05-15,03024,02,07,15,17,22,30,14,"10,313,559",0,0,11,"77,596","15,035,104"
2963,2003-05-18,03025,01,05,11,13,14,27,12,"8,394,596",1,"5,000,000",2,"660,222","16,536,260"
2962,2003-05-22,03026,08,13,15,26,29,31,16,"11,267,818",0,0,4,"307,845","16,245,314"
2961,2003-05-25,03027,01,11,14,17,27,28,15,"9,553,276",1,"5,000,000",7,"201,150","17,626,250"
2960,2003-05-29,03028,06,13,16,20,28,32,07,"7,115,273",1,"5,000,000",24,"45,749","17,442,014"
2959,2003-06-01,03029,02,07,15,26,29,32,10,"3,170,231",1,"5,000,000",9,"50,236","17,515,374"
2958,2003-06-05,03030,02,06,13,14,23,27,07,"7,240,631",0,0,1,"1,744,457","16,765,384"
2957,2003-06-08,03031,11,17,20,22,28,32,01,"11,573,486",0,0,6,"309,489","18,101,608"
2956,2003-06-12,03032,04,11,25,27,29,30,13,"15,264,588",0,0,4,"395,475","20,115,568"
2955,2003-06-15,03033,01,07,14,20,27,30,10,"20,161,441",0,0,11,"190,786","22,266,754"
2954,2003-06-19,03034,08,13,14,16,23,25,14,"24,117,797",0,0,6,"282,596","22,899,946"
2953,2003-06-22,03035,03,04,05,08,10,11,08,"28,751,013",0,0,7,"283,666","25,179,768"
2952,2003-06-26,03036,07,21,24,25,27,28,15,"28,374,435",1,"5,000,000",10,"198,146","25,054,376"
2951,2003-06-29,03037,09,14,17,18,26,32,07,"19,818,362",2,"5,000,000",39,"15,867","26,257,640"
2950,2003-07-03,03038,05,07,08,24,25,27,16,"17,846,466",1,"5,000,000",13,"99,827","26,782,590"
2949,2003-07-06,03039,03,05,23,24,27,32,03,"18,823,695",1,"5,000,000",1,"2,561,669","27,694,202"
2948,2003-07-10,03040,04,05,06,12,14,23,16,"19,393,421",1,"5,000,000",1,"2,387,025","27,328,054"
2947,2003-07-13,03041,02,03,17,18,24,25,11,"8,855,427",3,"5,000,000",11,"173,844","28,265,402"
2946,2003-07-17,03042,03,05,07,10,15,20,07,"8,244,457",1,"5,000,000",14,"134,358","26,607,702"
2945,2003-07-20,03043,02,08,10,19,20,32,13,"12,884,963",0,0,5,"397,757","27,416,990"
2944,2003-07-24,03044,02,05,09,16,32,33,15,"18,107,421",0,0,13,"172,168","26,537,776"
2943,2003-07-27,03045,03,07,14,15,17,32,03,"24,418,051",0,0,8,"338,069","26,657,064"
2942,2003-07-31,03046,07,08,10,11,17,26,11,"30,344,002",0,0,27,"94,062","27,144,542"
2941,2003-08-03,03047,03,17,26,28,32,33,16,"21,170,406",3,"5,000,000",2,"1,248,515","28,355,638"
2940,2003-08-07,03048,10,12,20,28,30,31,09,"21,250,495",1,"5,000,000",5,"435,436","27,557,888"
2939,2003-08-10,03049,03,06,07,13,24,25,15,"21,162,598",1,"5,000,000",17,"123,834","27,734,490"
2938,2003-08-14,03050,02,08,17,23,24,26,13,"3,000,000",7,"3,102,519",39,"6,099","28,450,710"
2937,2003-08-17,03051,04,13,15,17,24,27,01,"8,574,843",0,0,6,"398,203","24,831,800"
2936,2003-08-21,03052,01,12,13,23,30,31,11,"12,527,152",0,0,8,"211,730","28,371,758"
2935,2003-08-24,03053,15,19,20,21,28,29,13,"19,193,731",0,0,13,"219,777","29,854,724"
2934,2003-08-28,03054,02,05,09,21,31,33,12,"20,183,598",1,"5,000,000",2,"1,283,543","29,449,334"
2933,2003-08-31,03055,06,13,16,21,28,31,16,"23,989,902",0,0,5,"326,254","29,508,178"
2932,2003-09-04,03056,08,17,21,26,28,29,07,"22,892,844",1,"5,000,000",3,"557,563","32,664,536"
2931,2003-09-07,03057,18,19,24,25,30,31,16,"24,762,391",1,"5,000,000",14,"210,292","32,781,224"
2930,2003-09-11,03058,09,11,16,28,32,33,02,"31,813,344",0,0,5,"604,367","31,985,104"
2929,2003-09-14,03059,02,03,05,06,18,30,04,"39,018,764",0,0,9,"343,115","33,611,668"
2928,2003-09-18,03060,02,04,06,17,21,28,11,"44,870,316",0,0,8,"313,476","35,595,266"
2927,2003-09-21,03061,03,05,20,21,28,32,02,"53,944,234",0,0,32,"121,525","38,065,358"
2926,2003-09-25,03062,01,06,12,19,20,32,14,"61,312,881",0,0,10,"315,799","40,972,030"
2925,2003-09-28,03063,05,08,09,14,21,33,11,"71,301,051",0,0,20,"214,032","45,643,734"
2924,2003-10-02,03064,04,06,08,12,15,30,01,"80,873,748",0,0,30,"136,752","40,925,392"
2923,2003-10-05,03065,06,15,16,17,30,33,11,"86,060,981",1,"5,000,000",6,"727,659","41,948,818"
2922,2003-10-09,03066,03,07,08,20,24,32,14,"93,898,014",0,0,15,"223,915","45,124,280"
2921,2003-10-12,03067,05,11,12,13,27,31,10,"85,888,068",3,"5,000,000",25,"119,829","48,192,830"
2920,2003-10-16,03068,09,19,25,27,32,33,11,"85,756,772",2,"5,000,000",8,"528,680","46,972,102"
2919,2003-10-19,03069,07,11,16,19,26,28,11,"97,803,661",0,0,8,"645,369","45,227,392"
2918,2003-10-23,03070,01,02,04,17,18,19,08,"100,888,955",1,"5,000,000",23,"150,657","48,248,338"
2917,2003-10-26,03071,09,11,12,14,15,33,11,"105,987,271",0,0,11,"1,081,461","55,288,802"
2916,2003-10-30,03072,03,06,08,11,19,27,11,"96,034,020",3,"5,000,000",33,"356,840","63,510,334"
2915,2003-11-02,03073,02,12,14,21,23,30,13,"100,543,175",1,"5,000,000",19,"214,492","57,551,772"
2914,2003-11-06,03074,02,12,19,22,27,32,01,"96,680,954",2,"5,000,000",20,"716,074","59,866,792"
2913,2003-11-09,03075,16,17,19,22,31,33,11,"94,144,383",1,"5,000,000",8,"131,969","52,503,898"
2912,2003-11-13,03076,01,13,16,18,20,29,02,"107,390,751",0,0,18,"315,389","58,283,200"
2911,2003-11-16,03077,04,12,16,22,24,25,06,"112,553,918",0,0,14,"860,527","59,628,070"
2910,2003-11-20,03078,07,12,23,26,29,30,11,"108,688,617",1,"5,000,000",13,"203,664","61,385,292"
2909,2003-11-23,03079,12,15,22,23,26,31,04,"109,518,597",1,"5,000,000",9,"1,511,476","61,225,192"
2908,2003-11-27,03080,09,20,24,25,28,30,10,"104,628,920",2,"5,000,000",7,"1,703,441","61,168,028"
2907,2003-11-30,03081,01,02,14,26,29,30,07,"93,553,782",3,"5,000,000",5,"1,831,603","62,508,530"
