,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,红球_6 顺序
2987,03001,2003-02-23,10,11,12,13,26,28,11,26,28,11,13,10,12
2986,03002,2003-02-27,04,09,19,20,21,26,12,09,04,26,21,19,20
2985,03003,2003-03-02,01,07,10,23,28,32,16,23,07,28,10,01,32
2984,03004,2003-03-06,04,06,07,10,13,25,03,13,04,07,25,06,10
2983,03005,2003-03-09,04,06,15,17,30,31,16,04,30,17,15,31,06
2982,03006,2003-03-13,01,03,10,21,26,27,06,01,10,27,26,21,03
2981,03007,2003-03-16,01,09,19,21,23,26,07,23,19,09,26,01,21
2980,03008,2003-03-20,05,08,09,14,17,23,08,09,08,17,23,14,05
2979,03009,2003-03-23,05,09,18,20,22,30,09,30,18,09,22,05,20
2978,03010,2003-03-27,01,02,08,13,17,24,13,01,17,24,08,02,13
2977,03011,2003-03-30,04,05,11,12,30,32,15,12,11,30,04,05,32
2976,03012,2003-04-03,02,12,16,17,27,30,12,17,02,12,16,27,30
2975,03013,2003-04-06,08,13,17,21,23,32,12,23,13,08,32,17,21
2974,03014,2003-04-10,03,05,07,08,21,31,02,03,21,07,31,08,05
2973,03015,2003-04-13,04,11,19,25,26,32,13,25,26,04,11,32,19
2972,03016,2003-04-17,11,17,28,30,31,33,06,30,33,11,17,28,31
2971,03017,2003-04-20,05,08,18,23,25,31,06,25,31,18,08,05,23
2970,03018,2003-04-24,05,16,19,20,25,28,13,16,20,05,19,25,28
2969,03019,2003-04-27,04,08,12,13,16,33,09,12,33,13,08,16,04
2968,03020,2003-05-01,07,10,25,26,27,32,04,26,25,27,32,10,07
2967,03021,2003-05-04,14,15,18,25,26,30,01,15,18,30,26,25,14
2966,03022,2003-05-08,02,07,11,12,14,32,08,14,02,32,11,07,12
2965,03023,2003-05-11,01,10,20,22,26,31,02,20,31,22,10,26,01
2964,03024,2003-05-15,02,07,15,17,22,30,14,15,02,30,17,22,07
2963,03025,2003-05-18,01,05,11,13,14,27,12,27,01,14,05,13,11
2962,03026,2003-05-22,08,13,15,26,29,31,16,31,26,13,08,29,15
2961,03027,2003-05-25,01,11,14,17,27,28,15,17,27,11,28,14,01
2960,03028,2003-05-29,06,13,16,20,28,32,07,13,32,16,20,06,28
2959,03029,2003-06-01,02,07,15,26,29,32,10,15,32,07,02,26,29
2958,03030,2003-06-05,02,06,13,14,23,27,07,27,23,06,13,02,14
2957,03031,2003-06-08,11,17,20,22,28,32,01,32,22,17,28,11,20
2956,03032,2003-06-12,04,11,25,27,29,30,13,25,27,04,29,30,11
2955,03033,2003-06-15,01,07,14,20,27,30,10,27,30,20,01,07,14
2954,03034,2003-06-19,08,13,14,16,23,25,14,08,25,16,23,13,14
2953,03035,2003-06-22,03,04,05,08,10,11,08,10,04,05,08,11,03
2952,03036,2003-06-26,07,21,24,25,27,28,15,27,24,21,07,25,28
2951,03037,2003-06-29,09,14,17,18,26,32,07,14,32,26,09,18,17
2950,03038,2003-07-03,05,07,08,24,25,27,16,08,07,24,05,25,27
2949,03039,2003-07-06,03,05,23,24,27,32,03,05,27,24,23,03,32
2948,03040,2003-07-10,04,05,06,12,14,23,16,23,14,04,05,12,06
2947,03041,2003-07-13,02,03,17,18,24,25,11,17,18,24,03,02,25
2946,03042,2003-07-17,03,05,07,10,15,20,07,20,05,10,15,03,07
2945,03043,2003-07-20,02,08,10,19,20,32,13,20,02,08,19,10,32
2944,03044,2003-07-24,02,05,09,16,32,33,15,16,33,32,09,05,02
2943,03045,2003-07-27,03,07,14,15,17,32,03,03,15,17,07,32,14
2942,03046,2003-07-31,07,08,10,11,17,26,11,11,10,07,08,17,26
2941,03047,2003-08-03,03,17,26,28,32,33,16,03,32,17,26,33,28
2940,03048,2003-08-07,10,12,20,28,30,31,09,31,28,30,20,12,10
2939,03049,2003-08-10,03,06,07,13,24,25,15,24,25,13,03,06,07
2938,03050,2003-08-14,02,08,17,23,24,26,13,24,23,26,02,17,08
2937,03051,2003-08-17,04,13,15,17,24,27,01,13,04,17,24,27,15
2936,03052,2003-08-21,01,12,13,23,30,31,11,01,30,12,13,31,23
